First seen (UTC),Version,Feodo C&C,Status,SBL,ASN,Country,Last seen (UTC)
4/16/2015 18:06,D,89.28.83.228,offline,SBL256640,AS31252 STARNET-AS,MD,7/17/2015 18:47
4/16/2015 10:51,D,78.24.218.186,offline,SBL257153,AS29182 ISPSYSTEM-AS,RU,7/17/2015 18:47
4/15/2015 13:16,D,178.218.221.73,online,SBL253947,AS42244 ESERVER,RU,5/17/2015 23:24
4/13/2015 17:44,C,112.124.3.15,offline,Not listed,AS37963 CNNIC-ALIBABA-CN-NET-AP,CN,6/11/2015 3:44
4/11/2015 7:57,D,185.11.247.226,offline,SBL257276,AS49189 RUWEB,RU,8/31/2015 11:52
4/9/2015 20:17,C,202.44.54.4,offline,SBL256303,AS45223 WIN-AS-TH-AP,TH,5/31/2015 16:19
4/7/2015 13:04,D,37.140.199.100,offline,Not listed,AS197695 AS-REGRU,RU,7/21/2015 19:48
4/2/2015 16:28,C,68.169.52.10,offline,Not listed,AS20141 QUALITYTECH-SUW-300,US,5/3/2015 16:11
4/1/2015 13:17,D,87.236.215.151,offline,SBL258371,AS16125 BALTICSERVERS1-AS,GB,9/3/2015 15:45
3/30/2015 10:21,C,109.104.92.180,offline,Not listed,AS20738 AS20738,GB,5/13/2015 19:47
3/15/2015 9:28,D,84.92.85.198,offline,SBL256951,AS6871 PLUSNET,GB,5/14/2015 14:35
2/26/2015 10:21,C,185.46.55.88,offline,Not listed,AS43260 ROUTERGATE,TR,5/28/2015 16:03
2/11/2015 11:00,D,5.100.249.215,offline,SBL256493,AS12400 PARTNER-AS,IL,8/11/2015 15:48
1/13/2015 12:30,D,64.237.40.100,offline,SBL257670,AS20473 AS-CHOOPA,US,1/30/2015 12:52
